store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Title Nine - Berkeley,,2037 4th St,,Berkeley,CA,94710,United States,510-526-1972,37.8665322,-122.2992616,Sunday: 11-5;Monday-Saturday: 10-5,,0
Title Nine - Madison,,662 N Midvale Boulevard,,Madison,WI,53705,United States,608-310-5590,43.073404,-89.45214299999999,Sunday: 11-6;Monday-Saturday: 10-9,,0
Title Nine - Spokane,,928 S Perry Street,,Spokane,WA,99202,United States,509-535-4839,47.6464891,-117.3899443,Sunday: 12-5;Monday-Saturday: 10-6,,0
Title Nine - Seattle,,7000 Woodlawn Ave NE,,Seattle,WA,98115,United States,206-522-1425,47.67933409999999,-122.3241527,Sunday: 10-5:30;Monday-Friday: 10-6:30;Saturday: 10-6,,0
Title Nine - Bellevue,,10237 Main Street,,Bellevue,WA,98004,United States,425-451-9167,47.6099507,-122.2034984,Sunday: 12-5;Monday-Saturday: 10-6,,0
Title Nine - Salt Lake City,,965 East 900 South,,Salt Lake City,UT,84105,United States,801-364-1472,40.7501003,-111.8630992,Sunday: 12-5;Monday-Saturday: 10-6,,0
Title Nine - Dallas,,4527 McKinney Ave #150,,Dallas,TX,75205,United States,214-443-0201,32.8222086,-96.78812029999999,Sunday: 12-5;Monday-Saturday: 10-5,,0
Title Nine - Austin,,500 N Lamar Blvd,,Austin,TX,78703,United States,512-322-9902,30.2707362,-97.75491459999999,Sunday: 12-5;Monday-Saturday: 10-5,,0
Title Nine - Portland,,1335 NW Kearney Street,,Portland,OR,97209,United States,503-243-2220,45.5295133,-122.68462,Sunday: 11-5;Monday-Saturday: 10-7,,0
Title Nine - Eugene,,296 East 5th Ave. 229,,Eugene,OR,97401,United States,541-343-1574,44.053999,-123.088491,Sunday: 11-6;Monday-Saturday: 10-7,,0
Title Nine - Edina,,3942 West 50th Street,,Edina,MN,55424,United States,612-238-9992,44.9128051,-93.331107,Sunday: 12-5;Monday-Saturday: 10-6,,0
Title Nine - Leawood,,5291 West 116th Place,,Leawood,KS,66211,United States,913-400-2315,38.9172974,-94.6475109,Sunday: 12-5;Monday-Saturday: 10-6,,0
Title Nine - Lincoln Park,,1024 W Armitage Ave,,Chicago,IL,60614,United States,773-935-5116,41.9183089,-87.6544964,Sunday: 12-5;Monday-Wednesday: 10-5;Thursday-Saturday: 10-6,,0
Title Nine - Boise,,170 N 8th Street,,Boise,ID,83702,United States,208-342-1493,43.6159778,-116.2028277,Sunday: 12-5;Monday-Saturday: 10-6,,0
Title Nine - Colorado Springs,,210 N. Tejon Street,,Colorado Springs,CO,80903,United States,719-227-3674,38.8371995,-104.8238529,Sunday: 12-5;Monday-Saturday: 10-6,,0
Title Nine - Cherry Creek,,160 Steele Street,,Denver,CO,80206,United States,303-321-4001,39.7189945,-104.949594,Sunday: 12-5;Monday-Saturday: 10-6,,0
Title Nine - Boulder,,1801 Pearl Street,,Boulder,CO,80302,United States,303-996-0074,40.0197316,-105.2718538,Sunday: 12-5;Monday-Saturday: 10-6,,0
Title Nine - Walnut Creek,,1637 Mt. Diablo Blvd,,Walnut Creek,CA,94596,United States,925-295-0720,37.8970955,-122.0620128,Sunday: 11-5;Monday-Saturday: 10-6,,0
Title Nine - Palo Alto,,208 Hamilton Ave,,Palo Alto,CA,94301,United States,650-329-9140,37.4439168,-122.1612134,Sunday: 12-5;Monday-Wednesday: 10-5;Thursday-Saturday: 10-6,,0
Title Nine - Mill Valley,,"800 Redwood Hwy, Suite 124",,Mill Valley,CA,94941,United States,415-384-0339,37.8865544,-122.5166314,Sunday: 12-5;Monday-Saturday: 10-5,,0
Title Nine - Los Gatos,,218 N Santa Cruz Ave,,Los Gatos,CA,95030,United States,408-399-9099,37.226468,-121.9817865,Sunday: 12-5;Monday-Wednesday: 10-5;Thursday-Saturday: 10-6,,0
Title Nine - Carmel Valley,,5965 Village Way Suite E-101,,San Diego,CA,92130,United States,858-720-1998,32.9614982,-117.1896409,Sunday: 12-5;Monday-Saturday: 10-5,,0
