store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,767,3239 HARRISON ST,,BATESVILLE,AR,72501,United States,870-698-0422,35.76855,-91.61135,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,2129,814 HWY 67 NORTH,,WALNUT RIDGE,AR,72476,United States,870-886-2828,36.08083,-90.95568,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1863,2500 MALCOLM AVE STE A,,NEWPORT,AR,72112,United States,870-217-0331,35.60742,-91.25025,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,2033,210 HWY 65 SOUTH,,CLINTON,AR,72031,United States,501-745-8888,35.59093,-92.45521,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,376,101 SOUTH POPLAR ST,,SEARCY,AR,72143,United States,501-279-0077,35.2469,-91.69244,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,158,2605 RED WOLF BLVD,,JONESBORO,AR,72401,United States,870-935-4601,35.81333,-90.66989,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,381,619 HWY 62/65 NORTH,,HARRISON,AR,72601,United States,870-741-0535,36.24972,-93.11611,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,2073,3400 WEST KINGSHIGHWAY,,PARAGOULD,AR,72450,United States,870-240-8848,36.05875,-90.53228,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,595,2280 SANDERS RD,,CONWAY,AR,72032,United States,501-764-4900,35.1081,-92.43408,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1654,2949 SOUTH BUSINESS 65,,HOLLISTER,MO,65672,United States,417-334-4428,36.6179,-93.22858,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
,1216,97 PROVIDENCE PIKE,,PUTNAM,CT,06260,United States,860-963-7914,41.9249,-71.87398,Sunday=9:00 AM-7:00 PM;Monday=8:00 AM-8:00 PM;Tuesday=8:00 AM-8:00 PM;Wednesday=8:00 AM-8:00 PM;Thursday=8:00 AM-8:00 PM;Friday=8:00 AM-8:00 PM;Saturday=8:00 AM-8:00 PM,,
