store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
SpringHill Suites Louisville Hurstbourne/North,,10101 Forest Green Boulevard,,Louisville,KY,40223,United States,1-502-326-3895,38.263181000000000000000000000000,-85.569423000000000000000000000000,,,0
SpringHill Suites Louisville Airport,,820 Phillips Lane,,Louisville,KY,40209,United States,1-502-361-9009,38.191846000000000000000000000000,-85.742356000000000000000000000000,,,0
SpringHill Suites Louisville Downtown,,132 E Jefferson,,Louisville,KY,40202,United States,1-502-569-7373,38.253233000000000000000000000000,-85.751509000000000000000000000000,,,0
SpringHill Suites Lexington Near the University of Kentucky,,863 South Broadway,,Lexington,KY,40504,United States,1-859-225-1500,38.039683000000000000000000000000,-84.513837000000000000000000000000,,,0
SpringHill Suites Cincinnati Airport South,,7492 Turfway Road,,Florence,KY,41042,United States,1-859-371-3388,39.017978000000000000000000000000,-84.635722000000000000000000000000,,,0
SpringHill Suites Cincinnati Midtown,,610 Eden Park Drive,,Cincinnati,OH,45202,United States,1-513-381-8300,39.117832000000000000000000000000,-84.498989000000000000000000000000,,,0
SpringHill Suites Bloomington,,501 North College Avenue,,Bloomington,IN,47404,United States,1-812-337-7772,39.170600000000000000000000000000,-86.535200000000000000000000000000,,,0
SpringHill Suites Cincinnati North/Forest Park,,12001 Chase Plaza Drive,,Cincinnati,OH,45240,United States,1-513-825-9035,39.296807000000000000000000000000,-84.525223000000000000000000000000,,,0
SpringHill Suites Cincinnati Blue Ash,,4650 Creek Road,,Cincinnati,OH,45242,United States,1-513-793-1000,39.259956000000000000000000000000,-84.378981000000000000000000000000,,,0
SpringHill Suites Cincinnati Northeast/Mason,,9365 Waterstone Blvd.,,Cincinnati,OH,45249,United States,1-513-683-7797,39.301374000000000000000000000000,-84.303085000000000000000000000000,,,0
SpringHill Suites Indianapolis Downtown,,601 West Washington Street,,Indianapolis,IN,46204,United States,1-317-972-7293,39.767189000000000000000000000000,-86.168859000000000000000000000000,,,0
SpringHill Suites Dayton South/Miamisburg,,417 Springboro Pike,,Dayton,OH,45449,United States,1-937-432-9277,39.646277000000000000000000000000,-84.224442000000000000000000000000,,,0
SpringHill Suites Indianapolis Fishers,,9698 Hague Road,,Indianapolis,IN,46256,United States,1-317-841-0416,39.929686000000000000000000000000,-86.033150000000000000000000000000,,,0
SpringHill Suites Indianapolis Carmel,,11855 N. Meridian Street,,Carmel,IN,46032,United States,1-317-846-1800,39.961169000000000000000000000000,-86.155452000000000000000000000000,,,0
SpringHill Suites Dayton Beavercreek,,2663 Fairfield Commons Drive,,Beavercreek,OH,45431,United States,1-937-429-9090,39.762961000000000000000000000000,-84.056543000000000000000000000000,,,0
SpringHill Suites Dayton North,,3591 York Plaza Lane,,Dayton,OH,45414,United States,1-937-280-4150,39.849667000000000000000000000000,-84.193811000000000000000000000000,,,0
SpringHill Suites Terre Haute,,3304 US 41 South,,Terre Haute,IN,47802,United States,1-812-235-0696,39.428613000000000000000000000000,-87.414776000000000000000000000000,,,0
SpringHill Suites Nashville Airport,,1100 Airport Center Drive,,Nashville,TN,37214,United States,1-615-884-6111,36.145515000000000000000000000000,-86.662997000000000000000000000000,,,0
SpringHill Suites Nashville MetroCenter,,250 Athens Way,,Nashville,TN,37228,United States,1-615-244-5474,36.194579000000000000000000000000,-86.800482000000000000000000000000,,,0
SpringHill Suites Nashville Downtown,,410 5th Avenue,,Nashville,TN,37203,United States,,36.156375000000000000000000000000,-86.775306000000000000000000000000,,,0
SpringHill Suites Nashville Vanderbilt/West End,,1800 West End Avenue,,Nashville,TN,37203,United States,1-615-988-9930,36.153633000000000000000000000000,-86.797272000000000000000000000000,,,0
SpringHill Suites Knoxville at Turkey Creek,,10955 Turkey Drive,,Knoxville,TN,37934,United States,1-865-966-8888,35.903716000000000000000000000000,-84.148969000000000000000000000000,,,0
SpringHill Suites Columbus OSU,,1421 Olentangy River Road,,Columbus,OH,43212,United States,1-614-297-9912,39.988721000000000000000000000000,-83.026092000000000000000000000000,,,0
SpringHill Suites Columbus Airport Gahanna,,665 Taylor Road,,Columbus,OH,43230,United States,1-614-501-4770,40.003373000000000000000000000000,-82.859101000000000000000000000000,,,0
