store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Place des Récollets,3101,2944 Récollets Blvd.,,Trois-Rivières,QC,G9A 6J2,Canada,819-378-9374,46.331711,-72.56839,mon:9:30-17:30;tue:9:30-17:30;wed:9:30-17:30;thu:9:30-21:00;fri:9:30-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
Chateauguay,3103,298 Anjou Blvd.,,Châteauguay,QC,J6K 1C6,Canada,450-699-3939,45.358517,-73.717163,mon:9:30-18:00;tue:9:30-18:00;wed:9:30-18:00;thu:9:30-21:00;fri:9:30-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
Méga-Centre Rive-Sud,3104,675 Concorde Street,,Saint-Romuald / Lévis,QC,G6W 8A7,Canada,418-834-5397,46.729069,-71.272118,mon:9:30-17:30;tue:9:30-17:30;wed:9:30-17:30;thu:9:30-21:00;fri:9:30-21:00;sat:9:00-17:00;sun:12:00-17:00;,,0
Rockland Center,3106,2305 Rockland Road,,Ville Mont-Royal,QC,H3P 3E9,Canada,514-787-1718,45.528019,-73.64743,mon:10:00-18:00;tue:10:00-18:00;wed:10:00-21:00;thu:10:00-21:00;fri:10:00-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
Sherbrooke,3108,1495 King Street West,,Sherbrooke,QC,J1J 2C1,Canada,819-346-4050,45.398773,-71.913261,mon:9:30-17:30;tue:9:30-17:30;wed:9:30-17:30;thu:9:30-21:00;fri:9:30-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
Centennial Plaza,3109,3345 Sources Blvd.,,Dollard-des-Ormeaux,QC,H9B 1Z8,Canada,514-683-5333,45.485661,-73.796921,mon:10:00-18:00;tue:10:00-18:00;wed:10:00-18:00;thu:10:00-21:00;fri:10:00-21:00;sat:9:00-17:00;sun:11:00-17:00;,,0
Centre Manicouagan,3111,600 Laflèche Blvd.,,Baie-Comeau,QC,G5C 2X8,Canada,418 295-7089,49.200787,-68.256721,mon:9:30-17:30;tue:9:30-17:30;wed:9:30-17:30;thu:9:00-21:00;fri:9:00-21:00;sat:9:00-17:00;sun:12:00-16:00;,,0
Val d'Or,3112,1265 - 7th Street,,Val d’Or,QC,J9P 3R9,Canada,819-825-6003,48.104088,-77.786949,mon:9:30-17:30;tue:9:30-17:30;wed:9:30-17:30;thu:9:30-21:00;fri:9:30-21:00;sat:9:00-17:00;sun:12:00-16:00;,,0
Place de Ville,3115,770 Laure Blvd.,,Sept-Îles,QC,G4R 1Y5,Canada,418-962-7424,50.22065,-66.383377,mon:9:30-17:30;tue:9:30-17:30;wed:9:30-17:30;thu:9:30-21:00;fri:9:30-21:00;sat:9:30-17:00;sun:9:30-17:00;,,0
Le Centre de Victoriaville,3117,"535 Jutras East Blvd., Unit 1800",,Victoriaville,QC,G6P 7H4,Canada,819-604-4536,46.057091,-71.940376,mon:9:30-17:30;tue:9:30-17:30;wed:9:30-17:30;thu:9:30-21:00;fri:9:30-21:00;sat:9:00-17:00;sun:11:00-17:00;,,0
Carrefour Angrignon,3105,"7077 Newman Blvd., Unit 500",,Lasalle,QC,H8N 1X1,Canada,514-365-1286,45.447937,-73.615707,mon:10:00-18:00;tue:10:00-18:00;wed:10:00-21:00;thu:10:00-21:00;fri:10:00-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
Place Rosemère,3116,401 Labelle Blvd.,,Rosemère,QC,J7A 3T2,Canada,450-437-1933,45.630241,-73.817734,mon:10:00-21:00;tue:10:00-21:00;wed:10:00-21:00;thu:10:00-21:00;fri:10:00-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
Plaza de la Mauricie,3119,1 Plaza-de-la-Mauricie street,,Shawinigan,QC,G9N 7C1,Canada,819-539-7416,46.562199,-72.739601,mon:9:30-17:30;tue:9:30-17:30;wed:9:30-17:30;thu:9:00-21:00;fri:9:00-21:00;sat:9:00-17:00;sun:12:00-17:00;,,0
Boulevard de la Gare,3118,3218 de la Gare Blvd.,,Vaudreuil-Dorion,QC,J7V 8W5,Canada,450-424-1911,45.404957,-74.045334,mon:10:00-18:00;tue:10:00-18:00;wed:10:00-18:00;thu:10:00-21:00;fri:10:00-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
Sports Rousseau:Laval,3151,4440 Laval Highway 440,,Laval,QC,H7T 2P7,Canada,450-681-8440,45.560635,-73.786652,mon:9:00-18:00;tue:9:00-18:00;wed:9:00-18:00;thu:9:00-21:00;fri:9:00-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
Sports Rousseau:<br>Charlemagne,3152,90 Emile Despins Street,,Charlemagne,QC,J5Z 3L6,Canada,450-654-6767,45.722118,-73.493233,mon:10:00-18:00;tue:10:00-18:00;wed:10:00-18:00;thu:10:00-21:00;fri:10:00-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
Sports Rousseau:<br>La Place Vertu,3153,"3275, Côte-Vertu, Unit #2",,Ville Saint-Laurent,QC,H4R 1Y8,Canada,514-745-3202,45.497299,-73.706802,mon:10:00-18:00;tue:10:00-18:00;wed:10:00-21:00;thu:10:00-21:00;fri:10:00-21:00;sat:9:00-17:00;sun:12:00-17:00;,,0
Centre d’Excellence Sports Rousseau,3154,3600 Grande-Allée Blvd.,,Boisbriand,QC,J7H 1M9,Canada,450-419-4189,45.631409,-73.858727,mon:10:00-22:00;tue:10:00-22:00;wed:10:00-22:00;thu:10:00-22:00;fri:10:00-22:00;sat:9:00-17:00;sun:9:00-17:00;,,0
Sports Rousseau:<br>Saint-Hubert,3155,1701 Des Promenades Blvd.,,Saint-Hubert,QC,J3Y 5K2,Canada,450-656-1701,45.489414,-73.382294,mon:10:00-18:00;tue:10:00-18:00;wed:10:00-18:00;thu:10:00-21:00;fri:10:00-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
Entrepot du Hockey:<br>Quebec,3157,915 Pierre-Bertrand Blvd.,,Québec,QC,G1M 2E7,Canada,418-681-0787,46.826096,-71.274666,mon:9:00-17:30;tue:9:00-17:30;wed:9:00-17:30;thu:9:00-21:00;fri:9:00-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
Entrepot du Hockey:<br>Quebec,3158,1255 Jules-Verne Avenue,,Québec,QC,G2E 6L6,Canada,418-780-0783,46.790108,-71.350807,mon:9:00-17:30;tue:9:00-17:30;wed:9:00-17:30;thu:9:00-21:00;fri:9:00-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
Entrepot du Hockey:<br>Chicoutimi,3159,1860 Talbot Blvd.,,Chicoutimi,QC,G7H 7Y2,Canada,418-543-3993,48.395844,-71.070183,mon:9:30-17:30;tue:9:30-17:30;wed:9:30-17:30;thu:9:30-21:00;fri:9:30-21:00;sat:9:00-17:00;sun:10:00-17:00;,,0
