store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Under Armour Brand House,478360207,610 State Street,,Madison,WI,53703,US,608.250.1972,43.0748951,-89.3957176,,,0
Monterrey Fashion Drive,977115645,"Batallón de Sn Patricio # 1000, Col. San Agustín, San Pedro Garza García, Nuevo León LC F-018",,MONTERREY,Nuevo León,66260,MX,N/A,25.64938,-100.34184,,,0
Mundo E,977115642,"Blvd. Manuel Ávila Camacho 1007
Hab Jardines de Santa Monica
54050 Tlalnepantla, Méx.",,TLALNEPANTLA,Estado de México,54050,MX,N/A,19.5258124,-99.2277106,,,0
Polanco,977115635,"Av Horacio 232, Miguel Hidalgo, Polanco, Polanco V Secc, 11570 Ciudad de México, D.F.",,DISTRITO FEDERAL,Distrito Federal,11570,MX,52 03 9915 / 52 03 8912,19.432922,-99.1850659,,,0
Coyoacán,977115627,"Av. Coyoacán 2000, lc. 601 y 602, Col. Xoco, Del Benito Juárez, México, D.F. C.p. 03330",,DISTRITO FEDERAL,Distrito Federal,03330,MX,91319355,19.359979,-99.1701514,,,0
Arcos Bosques,977115660,"Av. Paseo de los tamarindos No. 90 Local PB-14, Colonia Bosques de las lomas.",,CIUDAD DE MEXICO,Delegacion Cuajimalpa de Morelos,05120,MX,N/A,19.3904162,-99.2550003,,,0
Santa Fe,977115653,"Av. Vasco de Quiroga #3850 Loc. 1140, Cuajimalpa de Morelos, Edo. De Mexico",,ESTADO DE MEXICO,Estado de México,05130,MX,015521678324,19.36385,-99.27189,,,0
Under Armour Brand House,434972598,185 Greenwich St.,Space LL4302,New York,NY,10007,US,212.964.0480,40.713359,-74.0116828,,,0
Under Armour Brand House,-1838497832,583 Broadway,,New York,NY,10012,US,646-863-7389,40.7246747368421,-73.9974005263158,,,0
Under Armour Brand House,-502140920,125 Westchester Ave.,Space 2005C,White Plains,NY,10601,US,914-750-4421,41.03248,-73.75976,,,0
Under Armour Brand House,434972798,1529 Walnut Street,,Philadelphia,PA,19102,US,215.607.3440,39.9499307,-75.1672878,,,0
Under Armour Brand House,1889703236,700 S. President Street,,Baltimore,MD,21202,US,410-528-5304,39.28298,-76.60148,,,0
Under Armour Brand House,1546936264,2575 Annapolis Mall Rd.,,Annapolis,MD,21401,US,410-571-9331,38.9890684339315,-76.5422294290375,,,0
Under Armour Brand House,634108300,800 Boylston Street,Suite #049,Boston,MA,21658,US,617-236-1723,42.34871,-71.08238,,,0
Under Armour Brand House,1546936267,7101 Democracy Blvd.,,Bethesda,MD,20817,US,301-469-0237,39.02207,-77.14678,,,0
Under Armour Brand House,-1904696512,7977 Tysons Corner,,Tysons Corner,VA,22102,US,703-356-0954,38.9192738778568,-77.2207423620402,,,0
Under Armour Brand House,993530496,1201 Woodward Ave.,,Detroit,MI,48226,US,313-335-3162,42.3329485,-83.0482626,,,0
Under Armour Brand House,-574165268,8702 Keystone Crossing,Suite 25C,Indianapolis,IN,46240,US,317-660-9407,39.9143021235102,-86.1095835571624,,,0
Under Armour Brand House,-719420186,600 N. Michigan Ave.,,Chicago,IL,60611,US,312-690-5094,41.89254,-87.62417,,,0
Under Armour Brand House,-502141034,4200 Conroy Road,Space E131,Orlando,FL,32839,US,321-319-1293,28.4893876344086,-81.4294667741936,,,0
Under Armour Brand House,275295600,1668 E. Buena Vista Drive,Suite #1L,Lake Buena Vista,FL,32830,US,407-828-6405,28.3707831781803,-81.5134666229259,,,0
Under Armour Brand House,-642122536,60 East Broadway W240,,Bloomington,MN,55425,US,612-235-4190,44.8537733919598,-93.2404314572864,,,0
Under Armour Brand House,260955092,8687 North Central Expressway,Space E1-730,Dallas,TX,75225,US,469-680-3984,32.8697964516129,-96.77071,,,0
Under Armour,-88660825,"Blvd. Kukulcán km 12.5.  Local E- 9 - 13   Zona Hotelera, Cancún, Quintana Roo",Municipio de Benito Juárez,Cancun,,77500,MX,,21.1591424,-86.8053312,,,0
BRAND HOUSE,-1037387926,Av. Vasco de Quiroga # 3850 Loc. 1140,Cuajimalpa de Morelos,DISTRITO FEDERAL,DISTRITO FEDERAL,5130,MX,,19.3634374,-99.2403546,,,0
Under Armour,-88660627,"Blvd. Juan Alonso De Torres 2002,  Valle del Campestre, 37150 León, Gto.",Valle del Campestre,Leon,,37150,MX,,21.15585,-101.63277,,,0
Under Armour Brand House,154990110,3200 Las Vegas Blvd. S.,Space 1040,Las Vegas,NV,89109,US,702-267-6033,36.12773,-115.16795,,,0
Under Armour Brand House,175231872,837 Americana Way,Space D10/11,Glendale,CA,91204,US,747-221-7832,34.1443761342393,-118.25574175701,,,0
Puebla,977115657,"Autopista México –Puebla Km. 115, Local- U-2    San Francisco Ocotlán, Coronango, Puebla.",,PUEBLA,Puebla,72680,MX,02222105907,19.126203,-98.2814747,,,0
Queretaro,977115659,"Prolongacion Ignacio Zaragoza 80, Local 39-40, Col. El Rosario",,QUERETARO,Santiago de Queretaro,76177,MX,014423253281,20.633,-100.44591,,,0
Punta Norte,977115649,Av. Hacienda Sierra Vieja No. 2 Lote-14 Local-1101 Colonia Hacienda del Parque. Cuatitlan Izcalli,,ESTADO DE MEXICO,Estado de México,54769,MX,015520750225,19.59522,-99.19519,,,0
Lerma,977115651,Autipista Mexico-Toluca Km. 50 Loc AL 21 Col: La Isla,,ESTADO DE MEXICO,Estado de México,52000,MX,017282845269,19.32823,-99.48623,,,0
Leon,977115654,"Boulevard Aeropuerto #841 Local G1-B Santa Anita, León, México.",,LEON,Guanajuato,37295,MX,014771947687,21.0914546,-101.6029795,,,0
Guadalajara,977115650,Carretera Guadalajara- Morelia Km. 12.5 Local R-01 Municipio: Tlajomulco de Zuñiga,,GUADALAJARA,Tlajomulco de Zuñiga,45645,MX,013332716381,20.54338,-103.45248,,,0
Under Armour Factory House,-2040692437,651 Kapowski Rd,Space 1250,Elizabeth,NJ,07201,US,908-351-5251,40.6600434,-74.171557,,,0
Under Armour Factory House,1546936192,4001 Route 66,Suite 101,Tinton Falls,NJ,07753,US,732-493-2411,40.214342,-74.103053,,,0
Under Armour Factory House,633577607,152 The Arches Circle,Suite 425,Deer Park,NY,11729,US,631-667-2650,40.76509,-73.303344,,,0
Under Armour Factory House,1546936183,185 Marigold Court,Suite Q101,Central Valley,NY,10917,US,845-928-3013,41.3169833333333,-74.12965,,,0
Under Armour Factory House,1546936179,537 Monmouth Road,Suite 0128,Jackson,NJ,08527,US,732-928-9300,40.16294,-74.42018,,,0
Under Armour Factory House,1546936178,1513 Tanger Mall Dr.,Suite 1513,Riverhead,NY,11901,US,631-208-3147,40.9195944779798,-72.7148609048351,,,0
Under Armour Factory House,1546936257,77 Sands Blvd.,Suite 213,Bethlehem,PA,18015,US,610-865-0317,40.6134420633626,-75.3568065069008,,,0
Under Armour Factory House,1546936177,1000 Rte. 611 North,Suite C-12,Tannersville,PA,18372,US,570-629-3610,41.0511944068955,-75.3132271826928,,,0
Under Armour Factory House,-128752494,100 S Premium Outlets Drive,Suite 110,Blackwood,NJ,08012,US,856-302-4559,39.7848791,-75.0528183,,,0
Under Armour Factory House,1546936181,20-A Killingworth Turnpike,Suite 140,Clinton,CT,06413,US,860-664-9229,41.2924519769005,-72.530640864894,,,0
Under Armour Factory House,1546936180,18 Light Cap Road,Suite 397,Limerick,PA,19464,US,610-326-6205,40.2294766225015,-75.5585530457491,,,0
Under Armour Factory House,1546936209,11 North Michigan Ave,Suite 430,Atlantic City,NJ,08401,US,609-887-1482,39.3592240816327,-74.4356840816327,,,0
Under Armour Factory House,1546936195,320 Premium Outlets Blvd,,Lee,MA,01238,US,413-243-8191,42.2956708,-73.2333838,,,0
Under Armour Factory House,119274607,455 Trolley Line Blvd,Suite 760,Mashantucket,CT,06338,US,860-237-6031,41.46904,-71.95293,,,0
Under Armour Factory House,1546936193,35 South Willowdale,Suite 207,Lancaster,PA,17602,US,717-393-7671,40.0221479843421,-76.1974559368914,,,0
Under Armour Factory House,1546936242,33 Outlet Square,,Hershey,PA,17033-2750,US,717-533-2091,40.2948939822253,-76.6491940710988,,,0
Under Armour Factory House,1546936205,36698 Bayside Outlet Dr.,Suite 610,Rehoboth Beach,DE,19971,US,302-227-7188,38.7156036363636,-75.110002020202,,,0
Under Armour Factory House,1546936210,413 Outlet Center Drive,Suite A006,Queenstown,MD,21658,US,410-827-5439,38.9839986,-76.1589884,,,0
Under Armour Factory House,1546936176,One Premium Outlets Blvd.,Suite 305,Wrentham,MA,02093,US,508-384-1180,42.03617,-71.34698,,,0
Under Armour Factory House,1546936173,6611-A Cabot Dr.,,Curtis Bay,MD,21226,US,410-255-2468,39.1972073836866,-76.5542929365441,,,0
Under Armour Factory House,1578950362,12741 Ocean Gateway,Suite 870,Ocean City,MD,21842,US,410-213-1016,38.33691,-75.10778,,,0
Under Armour Factory House,1546936245,1863 Gettysburg Village Drive,Suite 820,Gettysburg,PA,17325,US,717-334-3649,39.79595,-77.19938,,,0
Under Armour Factory House,1546936258,1454 State Route 9,Space 4,Lake George,NY,12845,US,518-761-6787,43.366219002913,-73.6995908736649,,,0
Under Armour Factory House,1546936261,80 Premium Outlets Blvd,Suite 507,Merrimack,NH,03054,US,603-424-7387,42.8258621,-71.5009616,,,0
Under Armour Factory House,621801146,22705 Clarksburg Road,Suite 600,Clarksburg,MD,20871,US,301-515-3107,39.2295575,-77.2863462,,,0
Under Armour Factory House,-833454444,6800 Oxon Hill,Suite 518,National Harbor,MD,20745,US,301-839-0719,38.7976554052008,-77.0030159732622,,,0
Under Armour Youth Factory House,1546936217,365 Premium Outlets Blvd.,Space 365,Hagerstown,MD,21740,US,301-665-2812,39.606875,-77.733728,,,0
Under Armour Factory House,1546936216,450 Premium Outlets Blvd.,Space 450,Hagerstown,MD,21740,US,301-714-1450,39.607235,-77.734069,,,0
Under Armour Factory House,1546936182,655 Route 318,Suite A003,Waterloo,NY,13165,US,315-539-0680,42.95422,-76.92127,,,0
Under Armour Factory House,1546936174,241 Fort Evans Road N.E.,Suite 369,Leesburg,VA,20176,US,703-297-4950,39.1092894549101,-77.5357480642624,,,0
Under Armour Factory House,1546936221,2700 Potomac Mills Circle,Unit 518,Woodbridge,VA,22192,US,703-490-5750,38.6451412230796,-77.2995593884602,,,0
Under Armour Factory House,1546936240,120 Laconia Rd.,Suite #310,Tilton,NH,03276-5238,US,603-286-3675,43.458830295743,-71.5590059026638,,,0
Under Armour Factory House,1546936203,336 US Route 1,Suite 3,Kittery,ME,03904,US,207-438-9012,43.1145486690313,-70.7304593339088,,,0
Under Armour Factory House,1546936198,2 Common Court,Space H-35,North Conway,NH,03860,US,603-356-0131,44.0231776401956,-71.1146890942902,,,0
Under Armour Factory House,1546936175,5715-62A Richmond Road,Suite B027,Williamsburg,VA,23188,US,757-259-0166,37.3210839,-76.7375873,,,0
Under Armour Factory House,1546936194,1946 Military Road,Space 67,Niagara,NY,14304,US,716-297-1510,43.0983897260274,-78.9761043835616,,,0
Under Armour Factory House,989175078,300 Taylor Road,Space 739A,Niagara-On-The-Lake,ON,L0S 1J0,CA,905-988-5478,43.1559189,-79.1744876,,,0
Under Armour Factory House,1546936234,1911 Leesburg Grove City Rd.,Suite 935,Grove City,PA,16127,US,724-748-4214,41.1434288888889,-80.15826,,,0
Under Armour Factory House,1546936254,2200 Tanger Blvd.,Suite 480,Washington,PA,15301,US,724-222-2408,40.21528,-80.20911,,,0
Under Armour Factory House,-886846107,8555 Campeau Drive,Suite 310,Ottawa,ON,K2T 1B7,CA,613-831-2040,45.30964,-75.91774,,,0
Under Armour Factory House,-125212928,19001 Chemin Notre-Dame,Suite 512,Mirabel,QC,J7J 0T1,CA,450-430-5678,45.67489,-73.9147,,,0
Under Armour Factory House,1642542091,5950 Rodeo Dr. - Unit 3,,Mississauga,ON,L5R 3V6,CA,905-507-2220,43.6136645039719,-79.690289847897,,,0
Under Armour Factory House,-886847126,3311 Simcoe Road,Suite D60,Cookstown,ON,L0L 1L0,CA,705-458-2929,44.45517,-79.4961,,,0
Under Armour Factory House,1546936260,549 South Chillicothe Rd.,Suite 0355,Aurora,OH,44202,US,330-995-9557,41.3024690344799,-81.3455940956005,,,0
Under Armour Clearance House,-833454441,9911 Avon Lake Rd.,Suite 545,Burbank,OH,44214,US,330-948-0279,41.0026206219852,-81.9962620447419,,,0
Under Armour Factory House,-833454442,4000 Arrowhead Blvd,Suite 810/824,Mebane,NC,27302,US,919-563-0756,36.07451,-79.26864,,,0
Under Armour Factory House,1546936201,1025 Industrial Park Drive,Space 870,Smithfield,NC,27577,US,919-209-0466,35.5082776981973,-78.3137070642334,,,0
Under Armour Factory House,365021584,400 South Wilson Road,Suite 500,Sunbury,OH,43074,US,740-965-3738,40.26619,-82.92193,,,0
Under Armour Factory House,1546936185,8000 Factory Shops Blvd.,,Jeffersonville,OH,43128,US,740-948-9002,39.62061,-83.60365,,,0
Under Armour Factory House,1546936191,12150  Beyer Road,,Birch Run,MI,48415,US,989-624-9005,43.2482734805533,-83.7821000475071,,,0
