store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Warby Parker Green Room,,8618 Melrose Avenue,,West Hollywood,CA,90069,US,310-299-2269,34.081808,-118.380595,mon:11:00 A.M.-7:00 P.M.;tue:11:00 A.M.-7:00 P.M.;wed:11:00 A.M.-7:00 P.M.;thu:11:00 A.M.-7:00 P.M.;fri:11:00 A.M.-7:00 P.M.;sat:11:00 A.M.-7:00 P.M.;sun:11:00 A.M.-7:00 P.M.;,,0
Yorkdale,,3401 Dufferin Street,,Toronto,ON,M6A 2T9,CA,437-886-3923,43.7256702,-79.454362,mon:10:00 A.M.-9:00 P.M.;tue:10:00 A.M.-9:00 P.M.;wed:10:00 A.M.-9:00 P.M.;thu:10:00 A.M.-9:00 P.M.;fri:10:00 A.M.-9:00 P.M.;sat:9:30 A.M.-9:00 P.M.;sun:11:00 A.M.-7:00 P.M.;,,0
The Summit at Fritz Farm,,111 Summit at Fritz Farm,,Lexington,KY,40517,US,888-492-7297,,,mon:closed;tue:closed;wed:closed;thu:closed;fri:12:00 P.M.-7:00 P.M.;sat:closed;sun:closed;,,0
Warby Parker WestBend,,1701 River Run,,Fort Worth,TX,76107,US,888-492-7297,,,mon:closed;tue:closed;wed:closed;thu:closed;fri:12:00 P.M.-7:00 P.M.;sat:closed;sun:closed;,,0
Oakbrook Center,,62 Oakbrook Center,,Oak Brook,IL,60523,US,630-243-5224,41.8499026,-87.9558958,mon:10:00 A.M.-9:00 P.M.;tue:10:00 A.M.-9:00 P.M.;wed:10:00 A.M.-9:00 P.M.;thu:10:00 A.M.-9:00 P.M.;fri:10:00 A.M.-9:00 P.M.;sat:10:00 A.M.-9:00 P.M.;sun:11:00 A.M.-6:00 P.M.;,,0
Tysons Corner,,8013 Tysons Corner Center,,Tysons Corner,VA,22102,US,703-879-4035,38.916813,-77.221372,mon:10:00 A.M.-9:30 P.M.;tue:10:00 A.M.-9:30 P.M.;wed:10:00 A.M.-9:30 P.M.;thu:10:00 A.M.-9:30 P.M.;fri:10:00 A.M.-9:30 P.M.;sat:10:00 A.M.-9:30 P.M.;sun:11:00 A.M.-7:00 P.M.;,,0
Walnut St.,,1523 Walnut Street,,Philadelphia,PA,19102,US,(215) 845-0987,39.949908,-75.167007,mon:11:00 A.M.-7:00 P.M.;tue:11:00 A.M.-7:00 P.M.;wed:11:00 A.M.-7:00 P.M.;thu:11:00 A.M.-7:00 P.M.;fri:11:00 A.M.-7:00 P.M.;sat:11:00 A.M.-7:00 P.M.;sun:12:00 P.M.-6:00 P.M.;,,0
The Pizitz,,1821 2nd Avenue North,,Birmingham,AL,35203,US,205-847-5198,33.51416,-86.807917,mon:11:00 A.M.-7:00 P.M.;tue:11:00 A.M.-7:00 P.M.;wed:11:00 A.M.-7:00 P.M.;thu:11:00 A.M.-7:00 P.M.;fri:11:00 A.M.-7:00 P.M.;sat:11:00 A.M.-7:00 P.M.;sun:12:00 P.M.-6:00 P.M.;,,0
Heights Mercantile ,,645 Heights Boulevard,,Houston,TX,77007,US,888-492-7297,,,mon:closed;tue:closed;wed:closed;thu:closed;fri:12:00 P.M.-7:00 P.M.;sat:closed;sun:closed;,,0
Bethesda Row,,4821 Bethesda Ave.,,Bethesda,MD,20814,US,240-614-4317,38.981054,-77.096596,mon:11:00 A.M.-7:00 P.M.;tue:11:00 A.M.-7:00 P.M.;wed:11:00 A.M.-7:00 P.M.;thu:11:00 A.M.-7:00 P.M.;fri:11:00 A.M.-7:00 P.M.;sat:11:00 A.M.-7:00 P.M.;sun:12:00 P.M.-6:00 P.M.;,,0
Prudential Center,,800 Boylston Street,,Boston,MA,02199,US,857-445-4377,42.348604,-71.082328,mon:11:00 A.M.-7:00 P.M.;tue:11:00 A.M.-7:00 P.M.;wed:11:00 A.M.-7:00 P.M.;thu:11:00 A.M.-7:00 P.M.;fri:11:00 A.M.-7:00 P.M.;sat:11:00 A.M.-7:00 P.M.;sun:11:00 A.M.-7:00 P.M.;,,0
Gold Coast,,1123 North State Street,,Chicago,IL,60610,US,312-878-2028,41.902579,-87.6303127,mon:11:00 A.M.-7:00 P.M.;tue:11:00 A.M.-7:00 P.M.;wed:11:00 A.M.-7:00 P.M.;thu:11:00 A.M.-7:00 P.M.;fri:11:00 A.M.-7:00 P.M.;sat:11:00 A.M.-7:00 P.M.;sun:11:00 A.M.-7:00 P.M.;,,0
Atherton Mill,,2000 South Blvd.,,Charlotte,NC,28203,US,704-508-4075,35.209254,-80.860221,mon:11:00 A.M.-7:00 P.M.;tue:11:00 A.M.-7:00 P.M.;wed:11:00 A.M.-7:00 P.M.;thu:11:00 A.M.-7:00 P.M.;fri:11:00 A.M.-7:00 P.M.;sat:11:00 A.M.-7:00 P.M.;sun:12:00 P.M.-6:00 P.M.;,,0
Hayes Valley,,357 Hayes Street,,San Francisco,CA,94102,US,415-906-5313,37.776911,-122.422485,mon:11:00 A.M.-7:00 P.M.;tue:11:00 A.M.-7:00 P.M.;wed:11:00 A.M.-7:00 P.M.;thu:11:00 A.M.-7:00 P.M.;fri:11:00 A.M.-7:00 P.M.;sat:11:00 A.M.-7:00 P.M.;sun:11:00 A.M.-7:00 P.M.;,,0
Fourth St.,,1911 Fourth Street,,Berkeley,CA,94710,US,888-492-7297,,,mon:closed;tue:closed;wed:closed;thu:closed;fri:11:00 A.M.-7:00 P.M.;sat:closed;sun:closed;,,0
Warby Parker Frame Studio,,3964 Magazine Street,,New Orleans,LA,70115,US,504-799-2830,29.9209476,-90.098901,mon:11:00 A.M.-7:00 P.M.;tue:11:00 A.M.-7:00 P.M.;wed:11:00 A.M.-7:00 P.M.;thu:11:00 A.M.-7:00 P.M.;fri:11:00 A.M.-7:00 P.M.;sat:11:00 A.M.-7:00 P.M.;sun:12:00 P.M.-6:00 P.M.;,,0
Showroom at Askov Finlayson,,204 North 1st Street,,Minneapolis,MN,55401,US,763-251-0300,44.985686,-93.269175,mon:11:00 A.M.-7:00 P.M.;tue:11:00 A.M.-7:00 P.M.;wed:11:00 A.M.-7:00 P.M.;thu:11:00 A.M.-7:00 P.M.;fri:11:00 A.M.-7:00 P.M.;sat:10:00 A.M.-7:00 P.M.;sun:10:00 A.M.-5:00 P.M.;,,0
Warby Parker Do Good Arcade,,817 NW 23rd Avenue,,Portland,OR,97210,US,971-352-4998,45.5286831,-122.7009329,mon:11:00 A.M.-7:00 P.M.;tue:11:00 A.M.-7:00 P.M.;wed:11:00 A.M.-7:00 P.M.;thu:11:00 A.M.-7:00 P.M.;fri:11:00 A.M.-7:00 P.M.;sat:11:00 A.M.-7:00 P.M.;sun:11:00 A.M.-7:00 P.M.;,,0
Showroom at Art in the Age,,116 North 3rd Street,,Philadelphia,PA,19106,US,215-922-2600,39.952584,-75.145213,mon:11:00 A.M.-7:00 P.M.;tue:11:00 A.M.-7:00 P.M.;wed:11:00 A.M.-7:00 P.M.;thu:11:00 A.M.-7:00 P.M.;fri:11:00 A.M.-7:00 P.M.;sat:11:00 A.M.-7:00 P.M.;sun:12:00 P.M.-6:00 P.M.;,,0
