store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Charlottesville,127,100 Wegmans Way,,Charlottesville,VIRGINIA,22902,US,(434) 529-3200,+38.0090,-078.5002,,,
Midlothian,129,12501 Stone Village Way,,Midlothian,VIRGINIA,23113,US,804-419-9900,+37.5022,-77.625,,,
Short Pump,130,12200 Wegmans Blvd,,Henrico,VIRGINIA,23233,US,804-377-4100,+37.6475,-077.6249,,,
Fredericksburg,41,2281 Carl D. Silver Parkway,,Fredericksburg,VIRGINIA,22401,US,540-322-4800,+38.3131,-077.5086,,,
Lake Manassas,42,8297 Stonewall Shops Square,,Gainesville,VIRGINIA,20155,US,571-222-2300,+38.7842,-077.6524,,,
Leesburg,44,101 Crosstrail Blvd SE,,Leesburg,VIRGINIA,20175,US,703-669-2044,+39.0891,-077.5228,,,
Potomac,55,14801 Dining Way,,Woodbridge,VIRGINIA,22191,US,703-763-5500,+38.6308,-077.2888,,,
Dulles,7,45131 Columbia Place,,Sterling,VIRGINIA,20166,US,703-421-2400,+39.0069,-077.4408,,,
Fairfax,16,11620 Monument Drive,,Fairfax,VIRGINIA,22030,US,703-653-1600,+38.8510,-077.3473,,,
Alexandria,49,7905 Hilltop Village Center Drive,,Alexandria,VIRGINIA,22315,US,571-527-2400,+38.7417,-077.1627,,,
Germantown,56,20600 Seneca Meadows Parkway,,Germantown,MARYLAND,20876,US,240-499-0700,+39.2001,-077.2547,,,
Frederick,54,7830 Wormans Mill Road,,Frederick,MARYLAND,21701,US,240-575-7300,+39.4461,-077.3999,,,
Woodmore,40,9001 McHugh Drive.,,Lanham,MARYLAND,20706,US,240-487-5400,+38.9209,-076.8501,,,
Erie West,69,5028 West Ridge Road,,Erie,PENNSYLVANIA,16506,US,814-835-1900,+42.0699,-080.1919,,,
Erie Peach St.,75,6143 Peach Street,,Erie,PENNSYLVANIA,16509,US,814-860-5300,+42.0602,-080.0907,,,
Columbia,47,8855 McGaw Rd,,Columbia,MARYLAND,21045,US,443-537-2900,+39.1856,-076.8215,,,
Crofton,60,1413 South Main Chapel Way,,Gambrills,MARYLAND,21054,US,443-332-6200,+39.0322,-076.6886,,,
Owings Mills,125,10100 Reisterstown Road,,Owings Mills,MARYLAND,21117,US,443-471-2300,+39.4132,-076.7742,,,
State College,98,345 Colonnade Blvd,,State College,PENNSYLVANIA,16803,US,814-278-9000,+40.8118,-077.9081,,,
Hunt Valley,14,122 Shawan Road,,Hunt Valley,MARYLAND,21030,US,410-773-3900,+39.4967,-076.6560,,,
Jamestown,88,945 Fairmount Ave,,Jamestown,NEW YORK,14701-2454,US,716-483-9900,+42.0937,-079.2901,,,
Harrisburg,45,6416 Carlisle Pike Suite 2000,,Mechanicsburg,PENNSYLVANIA,17050,US,717-791-4500,+40.2535,-077.0123,,,
Bel Air,53,21 Wegmans Blvd.,,Abingdon,MARYLAND,21009,US,443-372-2900,+39.4663,-076.3084,,,
Williamsport,78,201 William Street,,Williamsport,PENNSYLVANIA,17701,US,570-320-8778,+41.2375,-077.0054,,,
Mckinley,84,3740 McKinley Pkwy,,Buffalo,NEW YORK,14219-3097,US,716-362-8400,+42.7833,-078.8123,,,
Downingtown,50,1056 East Lancaster Avenue,,Downingtown,PENNSYLVANIA,19335,US,610-518-7800,+40.0164,-075.6786,,,
West Seneca,89,370 Orchard Park Road,,West Seneca,NEW YORK,14224,US,716-826-4000,+42.8352,-078.7839,,,
Amherst St.,91,601 Amherst Street,,Buffalo,NEW YORK,14207,US,716-877-0500,+42.9387,-078.8829,,,
Concordville,126,100 Applied Bank Blvd,,Glen Mills,PENNSYLVANIA,19342,US,484-785-9900,+39.8683,-075.5410,,,
Dick Rd.,80,651 Dick Road,,Depew,NEW YORK,14043,US,716-685-8100,+42.9211,-078.7378,,,
Losson Rd.,87,4960 Transit Road,,Depew,NEW YORK,14043,US,716-685-7300,+42.8830,-078.7002,,,
Alberta Dr.,82,675 Alberta Drive,,Amherst,NEW YORK,14226,US,716-831-6300,+42.9897,-078.8160,,,
Malvern,46,50 Foundry Way,,Malvern,PENNSYLVANIA,19355,US,484-913-9600,+40.0479,-075.5222,,,
Military Rd.,92,1577 Military Road,,Niagara Falls,NEW YORK,14304,US,716-298-3100,+43.0949,-078.9704,,,
Sheridan Dr.,83,5275 Sheridan Drive,,Williamsville,NEW YORK,14221,US,716-631-4300,+42.9770,-078.7378,,,
Transit Rd.,90,8270 Transit Road,,Williamsville,NEW YORK,14221,US,716-636-5600,+42.9946,-078.7000,,,
Niagara Falls Blvd.,86,3135 Niagara Falls Blvd,,Amherst,NEW YORK,14228,US,716-691-0800,+43.0389,-078.8216,,,
Hornell,17,1000 Highway 36 North,,Hornell,NEW YORK,14843,US,607-324-0600,+42.3487,-077.6704,,,
King Of Prussia,48,1 Village Dr,,King of Prussia,PENNSYLVANIA,19406,US,484-690-3500,+40.0831,-075.4022,,,
Collegeville,43,600 Commerce Drive,,Collegeville,PENNSYLVANIA,19426,US,484-902-1500,+40.1647,-075.4817,,,
Corning,51,24 S Bridge St,,Corning,NEW YORK,14830-2257,US,607-937-8347,+42.1455,-077.0626,,,
Tilghman St.,79,3900 Tilghman Street,,Allentown,PENNSYLVANIA,18104,US,610-336-7900,+40.5915,-075.5411,,,
Montgomeryville,104,500 Montgomery Mall,,North Wales,PENNSYLVANIA,19454,US,267-677-0700,+40.2375,-075.2463,,,
Cherry Hill,10,2100 Route 70 West,,Cherry Hill,NEW JERSEY,08002,US,856-488-2700,+39.9224,-075.0355,,,
Geneseo,26,4287 Genesee Valley Plaza,,Geneseo,NEW YORK,14454,US,585-243-9000,+42.7976,-077.7825,,,
