store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Commerce & Presa,3473052,412 E Commerce St,,"San Antonio,",TX,78205,US,,,,,,
Cypress & Jackson,3473080,516 W Cypress,,"San Antonio,",TX,78212,US,,,,,,
Roosevelt & Steves,3472596,1118 Roosevelt Avenue,,"San Antonio,",TX,78210,US,,,,,,
Broadway & Eleanor,3472807,3130 Broadway St,,"San Antonio,",TX,78209,US,,,,,,
I35 & Division,3472582,4720 Interstate 35 S,,"San Antonio,",TX,78211,US,,,,,,
AT&T Center,3472331,AT&T Center Parkway,,"San Antonio,",TX,78219,US,,,,,,
Roland & I10,3472583,303 Roland Rd,,"San Antonio,",TX,78210,US,,,,,,
New Braunfels & Fair,3472464,3500 S New Braunfels,,"San Antonio,",TX,78223,US,,,,,,
Commerce & General McMullen,3472347,4646 W Commerce St,,"San Antonio,",TX,78237,US,,,,,,
San Pedro & Basse,3472401,5900 San Pedro Ave,,"San Antonio,",TX,78212,US,,,,,,
Houston Tunnel,3472332,1000 Main St,,"Houston,",TX,77002,US,,,,,,
SW Military & Boswell,3472846,503 SW Military Dr,,"San Antonio,",TX,78221,US,,,,,,
West & San Angelo,3472574,2727 West Ave,,"San Antonio,",TX,78201,US,,,,,,
Zarzamora & SW Military,3472438,7007 S Zarzamora St,,"San Antonio,",TX,78224,US,,,,,,
Austin Hwy & Seidel,3473077,1243 Austin Highway,,"San Antonio,",TX,78209,US,,,,,,
Fredericksburg & Crossroads,3472514,4502 Fredericksburg Rd,,"Balcones Heights,",TX,78201,US,,,,,,
SE Military & City Base Landing,3472892,3239 SE Military Dr,,"San Antonio,",TX,78223,US,,,,,,
Rigsby & Semlinger,3472565,5075 Rigsby Ave,,"San Antonio,",TX,78222,US,,,,,,
Main & I45,3472689,3636 N Main St,,"Houston,",TX,77009,US,,,,,,
Shepherd & Farnham,3472510,3712 S Shepherd Dr,,"Houston,",TX,77098,US,,,,,,
Old Spanish Trail & La Salette,3472508,3624 Old Spanish Trl,,"Houston,",TX,77021,US,,,,,,
Westheimer & Timmons,3472507,3639 Westheimer Rd,,"Houston,",TX,77027,US,,,,,,
Harrisburg & S 69th,3472505,6914 Harrisburg Blvd,,"Houston,",TX,77011,US,,,,,,
Loop 610 & Brinkman,3472430,905 North Loop W,,"Houston,",TX,77008,US,,,,,,
Holcombe & Greenbriar,3473025,2265 W Holcombe Blvd,,"Houston,",TX,77030,US,,,,,,
Hwy 281 & Sunset,3472765,8481 N US Highway 281,,"San Antonio,",TX,78216,US,,,,,,
Loop 410 & Callaghan,3473014,4590 NW Loop 410,,"San Antonio,",TX,78229,US,,,,,,
