store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
VegasExpress,1598,3411 Las Vegas Boulevard South,,Las Vegas,NV,89109,United States,800-843-2728,36.12067,-115.17168,,,0
MPLS 40,1357,3240 Division Street,,St.Cloud,MN,56301,United States,800-843-2728,45.5531796,-94.1975583,Sun - Wed 7:00AM - 11:00PM;Thu - Sat 7:00AM - 12:00AM,,0
MPLS 42,1367,9480 Dunkirk Lane North,,Maple Grove,MN,55311,United States,800-843-2728,45.1258564,-93.4903633,Sun - Sat,,0
MPLS 38,1313,8011 Old Carriage Court,,Shakopee,MN,55379,United States,800-843-2728,44.777036,-93.416485,Sun - Wed 10:00AM - 11:00PM;Thu - Fri 10:00AM - 1:00AM;Saturday 10:00AM - 12:00AM,,0
MPLS 28,1070,1111 Cambridge Street,,Hopkins,MN,55343,United States,800-843-2728,44.9348862,-93.3870518,Sun - Sat,,0
MPLS 23,1065,7741 ZANE AVE N,,BROOKLYN PARK,MN,55443,United States,800-843-2728,45.0955346,-93.3569254,Sun - Sat,,0
MPLS 37,1297,3465 124th Ave North,,Coon Rapids,MN,55433,United States,800-843-2728,45.1969947,-93.3538634,Sun - Sat,,0
MPLS 22,1064,9600 LYNDALE AVE S,,BLOOMINGTON,MN,55420,United States,800-843-2728,44.8295282,-93.2892727,Sun - Sat,,0
MPLS 26,1068,100 W LAKE ST,,MINNEAPOLIS,MN,55408,United States,800-843-2728,44.9485822,-93.2800103,Sun - Sat,,0
MPLS 39,1349,15101 Cedar Avenue,,Apple Valley,MN,55124,United States,800-843-2728,44.730702,-93.218484,Sun - Sat,,0
MPLS 29,1071,608 CENTRAL AVE NE,,MINNEAPOLIS,MN,55414,United States,800-843-2728,44.9899338,-93.2520171,Sun - Sat,,0
MPLS 27,1069,5055 CENTRAL AVE NE,,COLUMBIA HEIGHTS,MN,55421,United States,800-843-2728,45.0604504,-93.2469624,Sun - Sat,,0
MPLS 34,1189,9330   BALTIMORE ST  ,,BLAINE,MN,55434,United States,800-843-2728,45.140855,-93.234215,Sun - Sat,,0
MPLS 30,1072,1120 UNIVERSITY AVE,,ST. PAUL,MN,55104,United States,800-843-2728,44.955464,-93.1471052,Sun - Sat,,0
MPLS 21,1063,505 RICE ST,,ST. PAUL,MN,55102,United States,800-843-2728,44.9563695,-93.106314,Sun - Sat,,0
MPLS 25,1067,4515 S ROBERT STREET TRL,,INVER GROVE HEIGHTS,MN,55077,United States,800-843-2728,44.8478826,-93.0706128,Sun - Sat,,0
MPLS 24,1066,1601 WHITE BEAR AVE,,ST. PAUL,MN,55109,United States,800-843-2728,44.9897411,-93.0257455,Sun - Sat,,0
MPLS 36,1247,919 West Broadway,,Forest Lake,MN,55025    ,United States,800-843-2728,45.279838,-92.9952239,Sun - Sat,,0
