store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
richmond,7730,9923 Hull Street Rd,,Richmond,VA,23236,United States,804-309-4460,37.4441195,-77.5792094,Mon:Opens at 5:00am;Tues:Open 24 hours;Wed:Open 24 hours;Thurs:Open 24 hours;Fri:Closes at 10:00pm;Sat:8:00am - 8:00pm;Sun:8:00am - 8:00pm;,,0
midlothian,7459,13583 Midlothian Turnpike,,Midlothian,VA,23113,United States,804-419-9533,37.503332,-77.6507735,Mon:Opens at 5:00am;Tues:Open 24 hours;Wed:Open 24 hours;Thurs:Open 24 hours;Fri:Closes at 10:00pm;Sat:8:00am - 8:00pm;Sun:8:00am - 8:00pm;,,0
richmond-chippenham-pkwy,7738,7250 Midlothian Turnpike,,Richmond,VA,23225,United States,804-309-4070,37.503045,-77.52973709999999,Mon:Opens at 5:00am;Tues:Open 24 hours;Wed:Open 24 hours;Thurs:Open 24 hours;Fri:Closes at 10:00pm;Sat:8:00am - 8:00pm;Sun:8:00am - 8:00pm;,,0
houston,7740,5151 Antoine Dr,,Houston,TX,77092,United States,832-690-5951,29.8398518,-95.4732786,Mon:5:00am - 12:00am;Tues:5:00am - 12:00am;Wed:5:00am - 12:00am;Thurs:5:00am - 12:00am;Fri:5:00am - 10:00pm;Sat:8:00am - 8:00pm;Sun:8:00am - 8:00pm;,,0
memphis-tn,7375,7040 E Shelby Dr,,Memphis,TN,38125,United States,901-333-8500,35.0204098,-89.8280975,Mon:5:00am - 12:00am;Tues:5:00am - 12:00am;Wed:5:00am - 12:00am;Thurs:5:00am - 12:00am;Fri:5:00am - 10:00pm;Sat:8:00am - 8:00pm;Sun:8:00am - 8:00pm;,,0
north-providence,7741,1527 Smith St,,North Providence,RI,02911,United States,401-214-0190,41.851,-71.460983,Mon:Opens at 5:00am;Tues:Open 24 hours;Wed:Open 24 hours;Thurs:Open 24 hours;Fri:Closes at 10:00pm;Sat:8:00am - 8:00pm;Sun:8:00am - 8:00pm;,,0
philadelphia-olney-blvd.,7765,101 E Olney Ave,,Philadelphia,PA,19120,United States,215-398-1640,40.0370692,-75.119213,Mon:Opens at 5:00am;Tues:Open 24 hours;Wed:Open 24 hours;Thurs:Open 24 hours;Fri:Closes at 10:00pm;Sat:8:00am - 8:00pm;Sun:8:00am - 8:00pm;,,0
southaven,7437,875 Goodman Rd E,,Southaven,MS,38671,United States,662-996-5600,34.9626335,-89.97428959999999,Mon:5:00am - 12:00am;Tues:5:00am - 12:00am;Wed:5:00am - 12:00am;Thurs:5:00am - 12:00am;Fri:5:00am - 10:00pm;Sat:8:00am - 8:00pm;Sun:8:00am - 8:00pm;,,0
baltimore-pratt-st.,7782,1205 W Pratt St,,Baltimore,MD,21223,United States,410-220-0630,39.2856353,-76.6366335,Mon:Opens at 5:00am;Tues:Open 24 hours;Wed:Open 24 hours;Thurs:Open 24 hours;Fri:Closes at 10:00pm;Sat:8:00am - 8:00pm;Sun:8:00am - 8:00pm;,,0
harvey-manhattan,7739,2424 Manhattan Blvd,,Harvey,LA,70058,United States,504-312-7070,29.8769614,-90.0517751,Mon:Opens at 5:00am;Tues:Open 24 hours;Wed:Open 24 hours;Thurs:Open 24 hours;Fri:Closes at 10:00pm;Sat:8:00am - 8:00pm;Sun:8:00am - 8:00pm;,,0
