store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Ziebart Utica,,44033 Van Dyke Ave,,Utica,MI,48317,United States,586-254-1116,42.618638,-83.032485,sun:Closed;mon:7:45am - 5:30pm;tue:7:45am - 5:30pm;wed:7:45am - 5:30pm;thu:7:45am - 5:30pm;fri:7:45am - 5:30pm;sat:8:00am - 4:30pm;,,0
Ziebart Franklin Park,,3020 N Mannheim Road,,Franklin Park,IL,60131,United States,847-455-2900,41.933614,-87.885203,sun:Closed;mon:7:45am - 5:30pm;tue:7:45am - 5:30pm;wed:7:45am - 5:30pm;thu:7:45am - 5:30pm;fri:7:45am - 5:30pm;sat:8:00am - 4:30pm;,,0
Ziebart Westland,,32932 Ford Road,,Westland,MI,48185,United States,734-425-5170,42.325219,-83.365311,sun:Closed;mon:7:45am - 5:30pm;tue:7:45am - 5:30pm;wed:7:45am - 5:30pm;thu:7:45am - 5:30pm;fri:7:45am - 5:30pm;sat:8:00am - 4:30pm;,,0
Ziebart Sterling Hts.,,5923 E Fourteen Mile Rd.,,Sterling Hts.,MI,48312,United States,586-553-9564,42.5364829,-83.049174,sun:Closed;mon:7:45 AM - 5:30 PM;tue:7:45 AM - 5:30 PM;wed:7:45 AM - 5:30 PM;thu:7:45 AM - 5:30 PM;fri:7:45 AM - 5:30 PM;sat:7:45 AM - 4:30 PM;,,0
Ziebart Plainfield,,2260 East Main Street,,Plainfield,IN,46168,United States,317-203-0030,39.712694,-86.371824,sun:Closed;mon:8:00am - 5:30pm;tue:8:00am - 5:30pm;wed:8:00am - 5:30pm;thu:8:00am - 5:30pm;fri:8:00am - 5:30pm;sat:9:00am - 3:00pm;,,0
Ziebart Indianapolis,,6155 East 86th Street,,Indianapolis,IN,46250,United States,317-577-9192,39.912183,-86.060806,sun:Closed;mon:8:00am - 5:30pm;tue:8:00am - 5:30pm;wed:8:00am - 5:30pm;thu:8:00am - 5:30pm;fri:8:00am - 5:30pm;sat:9:00am - 3:00pm;,,0
Ziebart Greenwood,,710 US 31,,Greenwood,IN,46142,United States,317-888-3636,39.62558,-86.120797,sun:Closed;mon:8:00am - 5:30pm;tue:8:00am - 5:30pm;wed:8:00am - 5:30pm;thu:8:00am - 5:30pm;fri:8:00am - 5:30pm;sat:9:00am - 3:00pm;,,0
Ziebart Reynoldsburg,,1255 Brice Rd.,,Reynoldsburg,OH,43068,United States,614-863-1766,39.955516,-82.829296,sun:Closed;mon:7:45am - 5:30pm;tue:7:45am - 5:30pm;wed:7:45am - 5:30pm;thu:7:45am - 5:30pm;fri:7:45am - 5:30pm;sat:8:00am - 4:30pm;,,0
Ziebart Columbus,,775 N. Wilson Road,,Columbus,OH,43204,United States,614-278-2400,39.9698905,-83.0970162,sun:Closed;mon:7:45am - 5:30pm;tue:7:45am - 5:30pm;wed:7:45am - 5:30pm;thu:7:45am - 5:30pm;fri:7:45am - 5:30pm;sat:8:00am - 4:30pm;,,0
Ziebart Indianapolis,,4404 Georgetown Rd,,Indianapolis,IN,46254,United States,317-297-3985,39.835011,-86.245002,sun:Closed;mon:8:00am - 5:30pm;tue:8:00am - 5:30pm;wed:8:00am - 5:30pm;thu:8:00am - 5:30pm;fri:8:00am - 5:30pm;sat:9:00am - 3:00pm;,,0
Ziebart Dearborn,,3251 S Telegraph Rd,,Dearborn,MI,48124,United States,313-565-2030,42.287483,-83.270819,sun:Closed;mon:7:45am - 5:30pm;tue:7:45am - 5:30pm;wed:7:45am - 5:30pm;thu:7:45am - 5:30pm;fri:7:45am - 5:30pm;sat:8:00am - 4:30pm;,,0
Ziebart Indianapolis,,8998 E Washington Street,,Indianapolis,IN,46219,United States,317-897-0560,39.774289,-86.009669,sun:Closed;mon:8:00am - 5:30pm;tue:8:00am - 5:30pm;wed:8:00am - 5:30pm;thu:8:00am - 5:30pm;fri:8:00am - 5:30pm;sat:9:00am - 3:00pm;,,0
Ziebart Fairfax,,3170 Draper Drive #8,,Fairfax,VA,22031,United States,703-591-0900,38.866199,-77.2812865,sun:Closed;mon:7:30am - 5:00pm;tue:7:30am - 5:00pm;wed:7:30am - 5:00pm;thu:7:30am - 5:00pm;fri:7:30am - 5:00pm;sat:7:30am - 5:00pm;,,0
Ziebart Dundalk,,217 Wise Ave,,Dundalk,MD,21222,United States,410-288-3200,39.2622412,-76.4816605,sun:Closed;mon:8am - 5pm;tue:8am - 5pm;wed:8am - 5pm;thu:8am - 5pm;fri:8am - 5pm;sat:Closed;,,0
Ziebart Waukesha,,2808 Pewaukee Road,,Waukesha,WI,53188,United States,262-547-6703,43.042664,-88.2263463,sun:Closed;mon:8:00am - 5:30pm;tue:8:00am - 5:30pm;wed:8:00am - 5:30pm;thu:8:00am - 5:30pm;fri:8:00am - 5:30pm;sat:9:00am - 2:30pm;,,0
Ziebart Milwaukee,,2021 S 108th Street,,Milwaukee,WI,53227,United States,414-541-2525,43.0078058,-88.0469182,sun:Closed;mon:8:00am - 5:30pm;tue:8:00am - 5:30pm;wed:8:00am - 5:30pm;thu:8:00am - 5:30pm;fri:8:00am - 5:30pm;sat:9:00am - 4:00p;,,0
Ziebart Bloomington,,311 W 90th Street,,Bloomington,MN,55420,United States,952-888-7992,44.8404079,-93.284209,sun:Closed;mon:7:30am - 5:30pm;tue:7:30am - 5:30pm;wed:7:30am - 5:30pm;thu:7:30am - 5:30pm;fri:7:30am - 5:30pm;sat:8:00am - 4:30pm;,,0
Ziebart Fridley,,6300 Central Ave NE,,Fridley,MN,55432,United States,763-571-1711,45.08278799999999,-93.23825599999998,sun:Closed;mon:7:45am - 5:30pm;tue:7:45am - 5:30pm;wed:7:45am - 5:30pm;thu:7:45am - 5:30pm;fri:7:45am - 5:30pm;sat:8:00am - 4:30pm;,,0
